Time[Seconds]	In:V[Volts]	Out:V[Volts]
 3.87500000000e-007	 0.00000000000e+000	 4.99966324218e+000
 3.89500000000e-007	 0.00000000000e+000	 5.00032581620e+000
 3.91500000000e-007	 0.00000000000e+000	 4.99968332198e+000
 3.93500000000e-007	 0.00000000000e+000	 5.00030636101e+000
 3.95500000000e-007	 0.00000000000e+000	 4.99970221830e+000
 3.97500000000e-007	 0.00000000000e+000	 5.00028805333e+000
 3.99500000000e-007	 0.00000000000e+000	 4.99971999922e+000
 4.00000000000e-007	 0.00000000000e+000	 5.00024564020e+000
 4.00500000000e-007	 5.00000000000e-001	 4.96856627299e+000
 4.00603889070e-007	 6.03889070055e-001	 4.92347311015e+000
 4.01152270830e-007	 1.15227083032e+000	 4.40708622862e+000
 4.02216644560e-007	 2.21664455995e+000	 5.35695006866e-001
 4.02353459379e-007	 2.35345937865e+000	 3.83419521790e-001
 4.02564187294e-007	 2.56418729424e+000	 3.46667776394e-001
 4.03224860988e-007	 3.22486098788e+000	 1.54809189711e-001
 4.04358070823e-007	 4.35807082289e+000	 2.80282348854e-002
 4.05000000000e-007	 5.00000000000e+000	-1.27774244989e-002
 4.05500000000e-007	 5.00000000000e+000	-1.27475029992e-004
 4.07500000000e-007	 5.00000000000e+000	 1.26359322692e-004
 4.09500000000e-007	 5.00000000000e+000	-1.24919908363e-004
 4.11500000000e-007	 5.00000000000e+000	 1.23697116474e-004
 4.13500000000e-007	 5.00000000000e+000	-1.22285141909e-004
 4.15500000000e-007	 5.00000000000e+000	 1.21209635031e-004
 4.17500000000e-007	 5.00000000000e+000	-1.19823285728e-004
 4.19500000000e-007	 5.00000000000e+000	 1.18770167677e-004
 4.21500000000e-007	 5.00000000000e+000	-1.17409009221e-004
 4.23500000000e-007	 5.00000000000e+000	 1.16377892387e-004
 4.25500000000e-007	 5.00000000000e+000	-1.15041471177e-004
 4.27500000000e-007	 5.00000000000e+000	 1.14031973009e-004
 4.29500000000e-007	 5.00000000000e+000	-1.12719842131e-004
 4.31500000000e-007	 5.00000000000e+000	 1.11731585129e-004
 4.33500000000e-007	 5.00000000000e+000	-1.10443304321e-004
 4.35500000000e-007	 5.00000000000e+000	 1.09475916037e-004
 4.37500000000e-007	 5.00000000000e+000	-1.08211051644e-004
 4.39500000000e-007	 5.00000000000e+000	 1.07264164686e-004
 4.41500000000e-007	 5.00000000000e+000	-1.06022289620e-004
 4.43500000000e-007	 5.00000000000e+000	 1.05095541635e-004
 4.45500000000e-007	 5.00000000000e+000	-1.03876235328e-004
 4.47500000000e-007	 5.00000000000e+000	 1.02969269002e-004
 4.49500000000e-007	 5.00000000000e+000	-1.01772117359e-004
 4.51500000000e-007	 5.00000000000e+000	 1.00884580399e-004
 4.53500000000e-007	 5.00000000000e+000	-9.97091757490e-005
 4.55500000000e-007	 5.00000000000e+000	 9.88407208702e-005
 4.57500000000e-007	 5.00000000000e+000	-9.76866619126e-005
 4.59500000000e-007	 5.00000000000e+000	 9.68369468197e-005
 4.61500000000e-007	 5.00000000000e+000	-9.57038385733e-005
 4.63500000000e-007	 5.00000000000e+000	 9.48725259389e-005
 4.65500000000e-007	 5.00000000000e+000	-9.37599796860e-005
 4.67500000000e-007	 5.00000000000e+000	 9.29467371292e-005
 4.69500000000e-007	 5.00000000000e+000	-9.18543703591e-005
 4.71500000000e-007	 5.00000000000e+000	 9.10588704188e-005
 4.73500000000e-007	 5.00000000000e+000	-8.99863067695e-005
 4.75500000000e-007	 5.00000000000e+000	 8.92082268782e-005
 4.77500000000e-007	 5.00000000000e+000	-8.81550960780e-005
 4.79500000000e-007	 5.00000000000e+000	 8.73941185306e-005
 4.81500000000e-007	 5.00000000000e+000	-8.63600563367e-005
 4.83500000000e-007	 5.00000000000e+000	 8.56158682607e-005
 4.85500000000e-007	 5.00000000000e+000	-8.46005163978e-005
 4.87500000000e-007	 5.00000000000e+000	 8.38728097190e-005
 4.89500000000e-007	 5.00000000000e+000	-8.28758158177e-005
 4.91500000000e-007	 5.00000000000e+000	 8.21642872251e-005
 4.93500000000e-007	 5.00000000000e+000	-8.11853047575e-005
 4.95500000000e-007	 5.00000000000e+000	 8.04896556680e-005
 4.97500000000e-007	 5.00000000000e+000	-7.95283438833e-005
 4.99500000000e-007	 5.00000000000e+000	 7.88482804022e-005
 5.00000000000e-007	 5.00000000000e+000	-7.53413501956e-005
 5.00500000000e-007	 4.50000000000e+000	 1.83326800346e-003
 5.02500000000e-007	 2.50000000000e+000	 3.38462645604e-001
 5.04500000000e-007	 5.00000000000e-001	 4.90334962170e+000
 5.05000000000e-007	 0.00000000000e+000	 5.04093778743e+000
 5.05500000000e-007	 0.00000000000e+000	 5.00119379809e+000
 5.07500000000e-007	 0.00000000000e+000	 4.99884093424e+000
 5.09500000000e-007	 0.00000000000e+000	 5.00112335046e+000
 5.11500000000e-007	 0.00000000000e+000	 4.99891076708e+000
 5.13500000000e-007	 0.00000000000e+000	 5.00105556146e+000
 5.15500000000e-007	 0.00000000000e+000	 4.99897647574e+000
 5.17500000000e-007	 0.00000000000e+000	 5.00099178515e+000
 5.19500000000e-007	 0.00000000000e+000	 4.99903829497e+000
 5.21500000000e-007	 0.00000000000e+000	 5.00093179307e+000
 5.23500000000e-007	 0.00000000000e+000	 4.99909644616e+000
 5.25500000000e-007	 0.00000000000e+000	 5.00087536873e+000
 5.27500000000e-007	 0.00000000000e+000	 4.99915113917e+000
 5.29500000000e-007	 0.00000000000e+000	 5.00082230706e+000
 5.31500000000e-007	 0.00000000000e+000	 4.99920257276e+000
 5.33500000000e-007	 0.00000000000e+000	 5.00077241394e+000
 5.35500000000e-007	 0.00000000000e+000	 4.99925093507e+000
 5.37500000000e-007	 0.00000000000e+000	 5.00072550573e+000
 5.39500000000e-007	 0.00000000000e+000	 4.99929640411e+000
 5.41500000000e-007	 0.00000000000e+000	 5.00068140877e+000
 5.43500000000e-007	 0.00000000000e+000	 4.99933914821e+000
 5.45500000000e-007	 0.00000000000e+000	 5.00063995891e+000
 5.47500000000e-007	 0.00000000000e+000	 4.99937932645e+000
 5.49500000000e-007	 0.00000000000e+000	 5.00060100108e+000
 5.51500000000e-007	 0.00000000000e+000	 4.99941594324e+000
 5.53500000000e-007	 0.00000000000e+000	 5.00056549934e+000
 5.55500000000e-007	 0.00000000000e+000	 4.99945044828e+000
 5.57500000000e-007	 0.00000000000e+000	 5.00053204840e+000
 5.59500000000e-007	 0.00000000000e+000	 4.99948295728e+000
 5.61500000000e-007	 0.00000000000e+000	 5.00050053504e+000
 5.63500000000e-007	 0.00000000000e+000	 4.99951358077e+000
 5.65500000000e-007	 0.00000000000e+000	 5.00047085169e+000
 5.67500000000e-007	 0.00000000000e+000	 4.99954242371e+000
 5.69500000000e-007	 0.00000000000e+000	 5.00044289622e+000
 5.71500000000e-007	 0.00000000000e+000	 4.99956958572e+000
 5.73500000000e-007	 0.00000000000e+000	 5.00041657172e+000
 5.75500000000e-007	 0.00000000000e+000	 4.99959516132e+000
 5.77500000000e-007	 0.00000000000e+000	 5.00039178629e+000
 5.79500000000e-007	 0.00000000000e+000	 4.99961924008e+000
 5.81500000000e-007	 0.00000000000e+000	 5.00036845283e+000
 5.83500000000e-007	 0.00000000000e+000	 4.99964190691e+000
 5.85500000000e-007	 0.00000000000e+000	 5.00034648883e+000
 5.87500000000e-007	 0.00000000000e+000	 4.99966324218e+000
 5.89500000000e-007	 0.00000000000e+000	 5.00032581620e+000
 5.91500000000e-007	 0.00000000000e+000	 4.99968332198e+000
 5.93500000000e-007	 0.00000000000e+000	 5.00030636101e+000
 5.95500000000e-007	 0.00000000000e+000	 4.99970221830e+000
 5.97500000000e-007	 0.00000000000e+000	 5.00028805333e+000
 5.99500000000e-007	 0.00000000000e+000	 4.99971999922e+000
 6.00000000000e-007	 0.00000000000e+000	 5.00024564020e+000
 6.00500000000e-007	 5.00000000000e-001	 4.96856627299e+000
 6.00603889070e-007	 6.03889070055e-001	 4.92347311015e+000
 6.01152270830e-007	 1.15227083032e+000	 4.40708622862e+000
 6.02216644560e-007	 2.21664455995e+000	 5.35695006866e-001
 6.02353459379e-007	 2.35345937865e+000	 3.83419521790e-001
 6.02564187294e-007	 2.56418729424e+000	 3.46667776394e-001
 6.03224860988e-007	 3.22486098788e+000	 1.54809189711e-001
 6.04358070823e-007	 4.35807082289e+000	 2.80282348854e-002
 6.05000000000e-007	 5.00000000000e+000	-1.27774244989e-002
 6.05500000000e-007	 5.00000000000e+000	-1.27475029993e-004
 6.07500000000e-007	 5.00000000000e+000	 1.26359322692e-004
 6.09500000000e-007	 5.00000000000e+000	-1.24919908363e-004
